vent_id,scene_id,observed,date,plume_latitude,plume_longitude,plume_id,emission_auto,emission_uncertainty_auto,qc_missing,qc_qc,qc
98,ang20221009t184703,True,2022-10-09,39.999997,-80.227007,ang20221009t184703-C,1193.51040027473,363.0017049872206,,pass,pass
98,GAO20210521t151830p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
98,GAO20210515t142544p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
98,GAO20210514t125900p0000,True,2021-05-14,,,,0.0,50.0,none,,fail
98,GAO20210513t155053p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
99,ang20221103t155207,True,2022-11-03,39.957238,-80.275665,ang20221103t155207-I,186.23727896893465,31.973867545015768,,pass,pass
99,ang20221024t183453,True,2022-10-24,39.9571,-80.2757,ang20221024t183453-A,702.1029284903898,211.39611944399664,,pass,pass
99,ang20221009t185838,True,2022-10-09,,,,0.0,50.0,none,,fail
99,GAO20210521t144353p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
99,GAO20210515t140819p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
99,GAO20210513t152129p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
100,ang20221103t155207,True,2022-11-03,39.953147,-80.263436,ang20221103t155207-G,259.72835873102014,70.49832626483602,,pass,pass
100,ang20221024t183453,True,2022-10-24,39.953216,-80.263359,ang20221024t183453-B,365.5391447940178,115.32426569065048,,pass,pass
100,ang20221009t185838,True,2022-10-09,39.95298863,-80.26344632,ang20221009t185838-D,963.4670090014972,221.2268095458108,,pass,pass
100,GAO20210521t150211p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
100,GAO20210521t144353p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
100,GAO20210515t141643p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
100,GAO20210515t140819p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
100,GAO20210513t153658p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
100,GAO20210513t152129p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
101,ang20221103t161828,True,2022-11-03,39.84818973,-80.41584516,ang20221103t161828-G,461.42209509098166,183.70083633970785,,pass,pass
101,ang20221103t153837,True,2022-11-03,39.84817169,-80.41675678,ang20221103t153837-R,487.15998841214,190.45084748283367,,pass,pass
101,ang20221011t181926,True,2022-10-11,,,,0.0,50.0,none,,fail
101,GAO20210813t143918p0000,True,2021-08-13,,,,0.0,50.0,none,,fail
101,GAO20210521t131640p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
101,GAO20210515t132309p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
101,GAO20210513t141020p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
102,ang20221103t161828,True,2022-11-03,39.8516335,-80.40874502,ang20221103t161828-D,314.08761549824965,95.40757620857924,,pass,pass
102,ang20221103t153837,True,2022-11-03,39.8517,-80.4088,ang20221103t153837-O,336.43333854755224,37.57365689473159,,pass,pass
102,ang20221011t181926,True,2022-10-11,39.851709,-80.408736,ang20221011t181926-D,681.515616526146,129.0575292121673,,pass,pass
102,ang20221003t160932,True,2022-10-03,39.85168155,-80.40870592,ang20221003t160932-G,1416.2191115633375,230.4609852873628,,pass,pass
102,GAO20210813t143918p0000,True,2021-08-13,,,,0.0,50.0,none,,fail
102,GAO20210521t131640p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
102,GAO20210515t132309p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
102,GAO20210513t141020p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
105,ang20221103t155207,True,2022-11-03,39.958354,-80.26284,ang20221103t155207-K,335.59103774787803,57.30416189962757,,pass,pass
105,ang20221024t183453,True,2022-10-24,39.95833889,-80.26298694,ang20221024t183453-G,182.6133884562377,50.91648307521909,,pass,pass
105,ang20221009t185838,True,2022-10-09,39.95832403,-80.2629177,ang20221009t185838-B,1048.3953511438049,392.5813800384861,,pass,pass
105,GAO20210521t150211p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
105,GAO20210521t144353p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
105,GAO20210515t141643p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
105,GAO20210515t140819p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
105,GAO20210513t153658p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
105,GAO20210513t152129p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
108,ang20221103t160514,True,2022-11-03,,,,0.0,50.0,none,,fail
108,ang20221011t183044,True,2022-10-11,40.020735,-80.309297,ang20221011t183044-A,890.4789959155368,318.9853886668652,,pass,pass
108,GAO20210521t142744p0000,True,2021-05-21,,,,0.0,50.0,none,,fail
108,GAO20210515t135940p0000,True,2021-05-15,,,,0.0,50.0,none,,fail
108,GAO20210513t150800p0000,True,2021-05-13,,,,0.0,50.0,none,,fail
113,GAO20220428t164817p0000,True,2022-04-28,33.51068611,-87.2877318,GAO20220428t164817p0000-A,733.7094672423649,160.9937407898195,,pass,pass
113,GAO20220422t164212p0000,True,2022-04-22,33.51065023,-87.28762824,GAO20220422t164212p0000-B,448.2743984890018,189.82416925597127,,pass,pass
113,GAO20220419t170408p0000,True,2022-04-19,33.510758,-87.287721,GAO20220419t170408p0000-A,698.1772513308022,125.7244884902956,,pass,pass
114,GAO20220923t162942p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
114,GAO20220428t154635p0000,True,2022-04-28,33.486778,-87.094031,GAO20220428t154635p0000-A,653.2623256282326,310.4098575287326,,pass,pass
114,GAO20220422t150848p0000,True,2022-04-22,33.486647,-87.094427,GAO20220422t150848p0000-A,932.3361869903364,189.64928175422548,,pass,pass
115,GAO20220923t164450p0000,True,2022-09-23,33.453576,-87.138962,GAO20220923t164450p0000-B,963.0214198927134,668.6713039370579,,pass,pass
115,GAO20220428t160140p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
115,GAO20220422t153007p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
115,GAO20220419t155053p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
115,GAO20220419t154146p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
118,GAO20220923t165226p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
118,GAO20220923t164450p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
118,GAO20220428t160924p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
118,GAO20220428t160140p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
118,GAO20220423t172858p0000,True,2022-04-23,,,,0.0,50.0,none,,fail
118,GAO20220422t154027p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
118,GAO20220422t153007p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
118,GAO20220419t160705p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
118,GAO20220419t155053p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
119,GAO20220923t164450p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
119,GAO20220428t160140p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
119,GAO20220422t153007p0000,True,2022-04-22,33.4406,-87.1401,GAO20220422t153007p0000-C,1009.017130262312,239.1980834095706,,pass,pass
119,GAO20220419t155053p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
120,GAO20220923t170108p0000,True,2022-09-23,33.403069,-87.199343,GAO20220923t170108p0000-A,2250.4803770182666,1228.3945425825025,,pass,pass
120,GAO20220428t161644p0000,True,2022-04-28,33.403089,-87.199106,GAO20220428t161644p0000-A,1122.4391693727084,380.4471930940895,,pass,pass
120,GAO20220423t173858p0000,True,2022-04-23,33.403175,-87.199424,GAO20220423t173858p0000-A,2042.84395631786,1304.635553781023,,pass,pass
120,GAO20220422t155137p0000,True,2022-04-22,33.4032,-87.199193,GAO20220422t155137p0000-A,2155.0047524825536,463.1399230900923,,pass,pass
120,GAO20220419t161635p0000,True,2022-04-19,33.402986,-87.199224,GAO20220419t161635p0000-A,2536.4245827937084,1393.232044761766,,pass,pass
121,GAO20220923t172122p0000,True,2022-09-23,33.421547,-87.239888,GAO20220923t172122p0000-B,1452.785907207814,687.4716996850325,,pass,pass
121,GAO20220923t171045p0000,True,2022-09-23,33.42144815,-87.23973894,GAO20220923t171045p0000-B,2548.583832907373,1144.23056530722,,pass,pass
121,GAO20220428t163239p0000,True,2022-04-28,33.421375,-87.239944,GAO20220428t163239p0000-A,1507.7171465476376,337.7199951905566,,pass,pass
121,GAO20220428t162445p0000,True,2022-04-28,33.42152237,-87.23970611,GAO20220428t162445p0000-C,1329.5995601605018,281.4646664403381,,pass,pass
121,GAO20220422t161650p0000,True,2022-04-22,33.421531,-87.239826,GAO20220422t161650p0000-A,1144.587916077638,184.2632925467207,,pass,pass
121,GAO20220419t163855p0000,True,2022-04-19,33.421041,-87.239701,GAO20220419t163855p0000-A,1645.0846179436855,944.3133643347212,,pass,pass
121,GAO20220419t162841p0000,True,2022-04-19,33.4214,-87.2399,GAO20220419t162841p0000-A,1296.7242857216463,425.2350180637072,,pass,pass
122,GAO20220923t172122p0000,True,2022-09-23,33.3781,-87.2331,GAO20220923t172122p0000-A,1408.9058596107895,762.4365220101366,,pass,pass
122,GAO20220923t171045p0000,True,2022-09-23,33.37813277,-87.23310655,GAO20220923t171045p0000-C,1345.587548772182,751.8694141463812,,pass,pass
122,GAO20220428t162445p0000,True,2022-04-28,33.378102,-87.23301,GAO20220428t162445p0000-A,1260.9207075790416,544.9354132964208,,pass,pass
122,GAO20220422t161650p0000,True,2022-04-22,33.378245,-87.23292,GAO20220422t161650p0000-B,2970.0270487069465,673.8925928507739,,pass,pass
122,GAO20220422t160323p0000,True,2022-04-22,33.378224,-87.233155,GAO20220422t160323p0000-A,2160.059256278108,1118.3856351373422,,pass,pass
122,GAO20220419t162841p0000,True,2022-04-19,33.378026,-87.232962,GAO20220419t162841p0000-B,2424.507577039721,2104.454727828441,,pass,pass
123,GAO20220428t162445p0000,True,2022-04-28,33.37036815,-87.21824986,GAO20220428t162445p0000-B,587.636246753777,126.2692120182921,,pass,pass
123,GAO20220422t160323p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
123,GAO20220419t162841p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
124,GAO20220923t172122p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
124,GAO20220428t163239p0000,True,2022-04-28,33.376974,-87.251949,GAO20220428t163239p0000-E,572.5766559143598,108.62470382474416,,pass,pass
124,GAO20220422t161650p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
124,GAO20220419t163855p0000,True,2022-04-19,33.3769,-87.2519,GAO20220419t163855p0000-C,328.13970336882534,65.91999793088848,,pass,pass
125,GAO20220923t173123p0000,True,2022-09-23,33.39427,-87.26538,GAO20220923t173123p0000-A,734.3323791981285,286.9583262060988,,pass,pass
125,GAO20220428t164102p0000,True,2022-04-28,33.394217,-87.265468,GAO20220428t164102p0000-B,953.193830528778,220.3700102483593,,pass,pass
125,GAO20220428t163239p0000,True,2022-04-28,33.394408,-87.265568,GAO20220428t163239p0000-B,765.1947903618795,275.65521064009613,,pass,pass
