facility_id,facility_name,msha_identification_number,facility_name_state,MINE_ID,STATE,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,CURRENT_103I,CURRENT_103I_DT
1001684.0,FRANCISCO UNDERGROUND MINE,1202295,,1202295.0,IN,Underground,Active,10/27/2003,5.0,9.0,2.0,1.0,Inspect Once Every 5-days,07/25/2022
1013995.0,DAVY BRANCH MINE,4609574,,4609574.0,WV,Underground,Active,09/14/2020,5.0,9.0,2.0,1.0,Never Had 103I Status,
1005761.0,BAILEY MINE-CRABAPPLE PORTAL,3607230,BAILEY MINE,3607230.0,PA,Underground,Active,06/08/2020,6.0,8.0,3.0,0.0,Inspect Once Every 5-days,10/07/1985
1001887.0,PRAIRIE STATE GENERATING STATION,1103193,LIVELY GROVE MINE,1103193.0,IL,Underground,Active,04/13/2011,5.0,9.0,3.0,0.0,Inspect Once Every 15-days,08/04/2023
1013071.0,CROOKED CREEK MINE,3609972,,3609972.0,PA,Underground,Active,02/22/2016,6.0,9.0,4.0,1.0,Inspect Once Every 10-days,11/05/2021
1013783.0,WARRIOR MET COAL MINE #4,101247,MINE NO 4,101247.0,AL,Underground,Active,10/26/2021,7.0,12.0,2.0,0.0,Inspect Once Every 5-days,06/01/1977
1010310.0,WEST ELK MINE,0503672,WEST ELK,503672.0,CO,Underground,Active,04/19/2002,5.0,10.0,2.0,1.0,Inspect Once Every 5-days,10/10/1992
1009895.0,MINGO LOGAN COAL LLC,4609029,,4609029.0,WV,Underground,Active,03/27/2006,5.0,9.0,2.0,1.0,Inspect Once Every 5-days,06/27/2007
1010323.0,AMERICAN EAGLE,4605437,,,,,,,,,,,,
1010328.0,"WARRIOR MET COAL, LLC",101401,NO 7,101401.0,AL,Underground,Active,02/28/1983,5.0,12.0,2.0,0.0,Inspect Once Every 5-days,04/01/1980
1009877.0,"IRON EMERALD, LLC",3605466,EMERALD,3605466.0,PA,Facility,NonProducing,10/06/2015,0.0,0.0,0.0,0.0,Removed From 103I Status,02/23/2016
1010341.0,EAGLE,4608759,,4608759.0,WV,Underground,Active,07/18/2013,5.0,9.0,2.0,1.0,Inspect Once Every 10-days,12/28/2022
1009887.0,"IRON CUMBERLAND, LLC",3605018,CUMBERLAND,3605018.0,PA,Underground,Active,03/27/1981,7.0,10.0,3.0,1.0,Inspect Once Every 5-days,01/01/1979
1009920.0,ALMA NO. 1 MINE,4608801,,4608801.0,WV,Underground,NonProducing,03/11/2021,5.0,0.0,0.0,0.0,Removed From 103I Status,08/26/2021
1010263.0,"SUGAR CAMP ENERGY, LLC",1103189,MC#1 MINE,1103189.0,IL,Underground,Active,01/11/2022,5.0,9.0,3.0,0.0,Inspect Once Every 5-days,09/16/2019
1010106.0,CENTURY MINE,3301070,,3301070.0,OH,Underground,Abandoned and Sealed,07/30/2022,0.0,0.0,0.0,0.0,Inspect Once Every 10-days,03/29/2022
1010125.0,CLEVELAND-CLIFFS PRINCETON COAL,4609261,,4609261.0,WV,Underground,Active,12/01/2015,6.0,9.0,2.0,1.0,Inspect Once Every 15-days,08/18/2020
1010057.0,"WARRIOR COAL, LLC",1517216,,1517216.0,KY,Underground,Active,06/14/1993,5.0,9.0,2.0,1.0,Inspect Once Every 5-days,01/16/2013
1010193.0,PEERLESS,4609258,,4609258.0,WV,Underground,Active,04/13/2020,5.0,10.0,2.0,1.0,Inspect Once Every 15-days,08/18/2023
1010040.0,15-18565/15-18662,"1518565,1518662",,,,,,,,,,,,
1010040.0,15-18565/15-18662,1518565,,1518565.0,KY,Underground,Active,05/11/2020,5.0,9.0,2.0,1.0,Inspect Once Every 10-days,09/05/2023
1010040.0,15-18565/15-18662,1518662,,1518662.0,KY,Underground,NonProducing,08/31/2022,5.0,0.0,0.0,1.0,Removed From 103I Status,03/14/2019
1010198.0,POND CREEK NO. 1 MINE,1103141,MACH #1 MINE,1103141.0,IL,Underground,Active,09/01/2006,5.0,9.0,3.0,1.0,Inspect Once Every 5-days,07/01/2008
1009948.0,"GIBSON COUNTY COAL, LLC","1202215,1202388",,,,,,,,,,,,
1009948.0,"GIBSON COUNTY COAL, LLC",1202215,,1202215.0,IN,Facility,Abandoned and Sealed,08/20/2021,0.0,0.0,0.0,0.0,Removed From 103I Status,05/11/2020
1009948.0,"GIBSON COUNTY COAL, LLC",1202388,,1202388.0,IN,Underground,Active,06/15/2020,5.0,10.0,2.0,1.0,Inspect Once Every 5-days,10/22/2014
1009828.0,"TUNNEL RIDGE, LLC",4608864,TUNNEL RIDGE,4608864.0,WV,Underground,Active,07/26/2010,5.0,9.0,3.0,0.0,Inspect Once Every 5-days,07/15/2013
1009821.0,DEEP MINE 41,4407223,,4407223.0,VA,Underground,Active,07/08/2013,5.0,10.0,2.0,1.0,Inspect Once Every 5-days,09/28/2011
1011471.0,"POCAHONTAS COAL COMPANY, LLC - AFFINITY MINE",4608878,,4608878.0,WV,Underground,Active,02/01/2016,5.0,9.0,2.0,1.0,Inspect Once Every 10-days,03/31/2022
1008760.0,MARION COUNTY MINE,4601433,MARION COUNTY MINE,4601433.0,WV,Underground,Active,09/21/2003,6.0,8.0,3.0,0.0,Inspect Once Every 5-days,01/03/2001
1010111.0,LOWRY MINE,3609287,,3609287.0,PA,Underground,Active,12/07/2020,5.0,9.0,1.0,0.0,Inspect Once Every 10-days,08/10/2021
1011503.0,HARVEY MINE,3610045,HARVEY MINE,3610045.0,PA,Underground,Active,04/11/2016,6.0,8.0,2.0,1.0,Inspect Once Every 5-days,01/01/2014
1008757.0,ENLOW FORK MINE,3607416,ENLOW FORK,3607416.0,PA,Underground,Active,07/13/2020,5.0,8.0,2.0,1.0,Inspect Once Every 5-days,04/29/1991
1011516.0,DEER RUN MINE,1103182,DEER RUN MINE,1103182.0,IL,Underground,Active,01/02/2020,5.0,8.0,2.0,1.0,Inspect Once Every 15-days,09/06/2023
1008388.0,VIPER MINE,1102664,VIPER MINE,1102664.0,IL,Underground,Active,09/02/1982,5.0,9.0,2.0,0.0,Inspect Once Every 15-days,04/20/2023
1011739.0,PRIDE MINE,4202241,,4202241.0,UT,Underground,Active,03/13/2023,7.0,0.0,0.0,1.0,Removed From 103I Status,09/20/2022
1008761.0,MARSHALL COUNTY MINE,4601437,MARSHALL COUNTY MINE,4601437.0,WV,Underground,Active,11/30/2020,6.0,0.0,0.0,3.0,Inspect Once Every 5-days,04/03/1989
1008387.0,BUCHANAN MINE #1,4404856,BUCHANAN MINE,4404856.0,VA,Underground,Active,11/05/2012,7.0,8.0,3.0,0.0,Inspect Once Every 5-days,12/26/1984
1010656.0,LOWER WAR EAGLE DEEP MINE,4609319,LOWER WAR EAGLE MINE,4609319.0,WV,Underground,Active,06/01/2020,5.0,9.0,2.0,1.0,Inspect Once Every 5-days,09/05/2023
1009600.0,SHOAL CREEK MINE,0102901,SHOAL CREEK MINE,102901.0,AL,Underground,Active,06/16/2023,7.0,8.0,6.0,0.0,Inspect Once Every 5-days,07/01/1995
1010871.0,LEER MINE,4609192,,4609192.0,WV,Underground,Active,11/03/2011,7.0,9.0,2.0,1.0,Inspect Once Every 5-days,07/11/2013
1009342.0,SAN JUAN MINE,2902170,SAN JUAN MINE,2902170.0,NM,Underground,NonProducing,11/28/2022,4.0,0.0,0.0,2.0,Removed From 103I Status,11/28/2022
1011220.0,PRAIRIE EAGLE MINE,1103147,PRAIRIE EAGLE,1103147.0,IL,Underground,Active,08/02/2006,5.0,9.0,3.0,1.0,Inspect Once Every 15-days,09/20/2023
