Description,geometry,vent_id,vent_type,lat,lon
15 Vent,POINT Z (-81.89844993261669 37.25037836268946 0),189,Ventilation Shaft,37.25037836268946,-81.89844993261669
16 Vent,POINT Z (-81.85096213908159 37.23379720570515 0),190,Ventilation Shaft,37.23379720570515,-81.85096213908159
6 Vent,POINT Z (-81.92722564831938 37.17534587980722 0),191,Ventilation Shaft,37.17534587980722,-81.92722564831938
12 Vent,POINT Z (-81.87913178254183 37.17439091662384 0),192,Ventilation Shaft,37.17439091662384,-81.87913178254183
13 Vent,POINT Z (-81.88741870486191 37.22397828006599 0),193,Ventilation Shaft,37.22397828006599,-81.88741870486191
4 Vent,POINT Z (-81.9554420425758 37.17242307628641 0),195,Ventilation Shaft,37.17242307628641,-81.9554420425758
11 Vent,POINT Z (-81.85470679860073 37.20992955511772 0),196,Ventilation Shaft,37.20992955511772,-81.85470679860073
18 Vent,POINT Z (-81.9260500789613 37.14468841428155 0),198,Ventilation Shaft,37.14468841428155,-81.9260500789613
