date,lb,ub,mean_value
2020-10-19,6244.820681,9331.234856,7645.024816
2021-01-14,2744.871325,3179.162739,2911.108168
2023-03-20,974.5,974.5,974.5
2023-08-23,1210.873647,2051.501009,1549.798593
