,plume_id,scene_id,plume_latitude,plume_longitude,gas,cmf_type,pixres,ime,fetch,sum_pix,ime_div_fetch_avg,ime_div_fetch_std,dynamic_masks_ime_avg,dynamic_masks_ime_std,crop,percentile,threshold,aspect_ratio,radial_fetch,hull_dist_fetch,RMSD_ime_div_fetch,MAD_ime_div_fetch,aspect_ratio_flag,background_std,sigma_ime_masking,datetime,wind_source,wind_speed_avg,wind_speed_std,wind_direction_avg,wind_direction_std,emission_auto,emission_uncertainty_auto
0,GAO20200731t173603p0000-A,GAO20200731t173603p0000,39.684543,-111.15722,ch4,mfa,4.5,3.511408916000256,139.5,222.0,0.0588702684932266,0.0088197256637962,3.431007029155998,0.4318105120693859,400.0,87.0,622.443025512695,0.1369991560877977,81.0,139.5,0.0169537131163985,0.014718171426832,False,0.0400886343861018,0.2443966943575709,2020-07-31 17:36:03+00:00,hrrr,4.204427083333333,0.3805882893860439,237.9816063198929,14.37362616628404,656.1538998706496,230.55539737625963
1,GAO20200731t174219p0000-A,GAO20200731t174219p0000,39.6827,-110.5453,ch4,mfa,4.5,4.983640647331891,198.0,442.0,0.0266274807256632,0.0056821265703431,4.985162663970153,0.5748824989380807,325.0,85.0,404.58634185791016,0.0992385167396439,180.0,198.0,0.0058463534421345,0.0013431312569483,False,0.0335795789657584,0.2466871327230071,2020-07-31 17:42:19+00:00,hrrr,4.600260416666667,0.0416259566748588,184.56182952837585,1.388782164600407,458.5208960162389,22.62714885186501
2,GAO20200731t183752p0000-A,GAO20200731t183752p0000,38.880611,-107.462613,ch4,mfa,4.5,28.11102512757306,288.0,1261.0,0.1432263404293231,0.0372858913152347,28.19412557039801,2.179322036506249,950.0,91.0,696.7072003173828,0.0507533703409992,288.0,310.5,0.0491192980054969,0.0394873266079891,False,0.0442676361468659,0.552751203190801,2020-07-31 18:37:52+00:00,hrrr,5.170572916666667,0.4851444381501817,243.61225218641223,2.0101017087798256,1816.876314804568,754.5297164089495
3,GAO20200804t171401p0000-A,GAO20200804t171401p0000,36.792565,-108.388968,ch4,mfa,4.5,27.38327073228541,288.0,1800.0,0.066916227275962,0.0113070644247918,27.320146452169386,1.9150657968431557,300.0,84.0,494.2638610839843,0.0355555555555555,288.0,337.5,0.0313216907863308,0.0297925736237547,False,0.0190835834193182,0.9927530653818596,2020-08-04 17:14:01+00:00,hrrr,1.7294921875,0.7980975577650967,294.6578810446625,83.36036667838064,591.9894099960628,330.2060704307329
4,GAO20200805t165120p0000-A,GAO20200805t165120p0000,38.939546,-107.466775,ch4,mfa,4.5,10.647226962918602,274.5,670.0,0.0538164163917006,0.0110924737596789,10.598267666483128,0.5463052570940039,400.0,87.0,666.9401953125,0.0897137846396938,234.0,274.5,0.0135454235251207,0.0077052743417047,False,0.0422586549553955,0.7528377808453709,2020-08-05 16:51:20+00:00,hrrr,3.9088541666666665,1.2226430765619745,243.7043384979733,1.226201080358028,640.2839611915393,227.7408912799661
5,GAO20200805t170114p0000-A,GAO20200805t170114p0000,38.880634,-107.462604,ch4,mfa,4.5,36.19352327193865,288.0,1261.0,0.1675895254606439,0.0289273262131021,36.17862574905179,3.977908331189344,575.0,89.0,978.7898559570314,0.0507533703409992,288.0,310.5,0.0452843844419162,0.0378367012337637,False,0.0553898345228386,0.4070833204693014,2020-08-05 17:01:14+00:00,hrrr,3.598958333333333,1.0676638710254531,281.4569087841593,5.52299870316605,1628.2372774029695,688.2127360478252
6,GAO20210513t141020p0000-2,GAO20210513t141020p0000,39.972172,-80.415606,ch4,mfa,5.0,31.261642662876664,265.0,811.0,0.2631972402897702,0.0581719901347541,33.34963096085633,6.962721124269138,550.0,89.0,1117.2865295410156,0.0645437846032177,170.0,265.0,0.0927034883866878,0.0740029281721657,False,0.0543133481610723,3.3070918959315536,2021-05-13 14:10:20+00:00,hrrr,2.0709635416666665,0.5789169980914824,15.797754851502134,16.750437439137706,1371.001176157316,671.7755454268176
7,GAO20210513t141020p0000-3,GAO20210513t141020p0000,39.8606,-80.4225,ch4,mfa,5.0,11.611857020983011,150.0,303.0,0.1388891050991626,0.0296442232618266,11.637789958382196,0.7386421199033939,450.0,88.0,759.0847534179687,0.0984583095061141,125.0,150.0,0.0474786982089828,0.0408067967594423,False,0.0543133481610723,0.3309161354674625,2021-05-13 14:10:20+00:00,hrrr,2.0445963541666665,0.4070226380813465,21.603719652635498,23.98101067973968,683.7569432699464,329.76385909677094
8,GAO20210513t141020p0000-4,GAO20210513t141020p0000,39.859,-80.4167,ch4,mfa,5.0,35.96211771636144,250.0,826.0,0.1833558620424104,0.0359066400314259,35.89200913877173,0.5133983498635207,750.0,90.0,944.6783081054696,0.059765109187397,230.0,250.0,0.0419693021517816,0.0236164020264478,False,0.0543133481610723,0.3187047904464408,2021-05-13 14:10:20+00:00,hrrr,2.2496744791666665,0.35094739061162,24.003085698745878,20.796407468319547,1266.3087408514295,274.9648331065435
9,GAO20210513t141020p0000-5,GAO20210513t141020p0000,39.8566,-80.4086,ch4,mfa,5.0,9.469448857792443,225.0,344.0,0.0516680648672207,0.0045266933952886,9.080559852391785,2.068392197494152,475.0,88.0,985.7615405273436,0.1285002099145368,210.0,225.0,0.0067814657664314,0.0057773829816445,False,0.0543133481610723,0.6099716245908897,2021-05-13 14:10:20+00:00,hrrr,2.2496744791666665,0.35094739061162,24.003085698745878,20.796407468319547,365.19732732256455,73.72206849140842
